x,y,z
407196.385272,370876.375972,450705.639103
809564.414730,705757.198062,843316.844325
618872.105660,555155.326537,677608.390536
787275.992339,717791.236790,867972.720133
789947.603139,732771.366533,840932.911019
764388.585548,767314.693591,841336.995695
797207.913681,722811.072595,856653.000000
271245.085012,251339.266348,294829.060647
780438.569633,758448.103067,886380.437312
-229933.557213,-216152.930222,-262209.794658
787647.512788,725036.445892,871143.000000
809866.773933,718716.165801,829277.383099
608708.636479,594332.583311,593082.799331
693035.086033,634070.977687,743119.834971
796583.617814,725550.120066,861662.497748
791793.758022,881626.338971,859713.496444
761941.376615,746184.912503,879544.609007
761648.659011,741366.815494,870205.537607
798693.880417,744466.770979,883248.909933
811852.790718,712657.489489,827148.000000
683682.222428,648659.513238,750212.234008
596343.857657,544924.226151,656446.347704
752489.823838,706327.714853,864193.933817
782232.443355,712824.160530,883806.000000
774026.880365,730927.676932,865294.358621
795857.639992,749322.356054,887943.000000
559016.732783,512362.362663,610130.341298
684764.035061,625684.270159,764230.701226
86129.532880,82009.174982,101031.312578
236692.713956,224067.062580,263177.300182
792704.714967,757038.144317,838119.665661
778815.887820,768200.645950,847401.847268
779618.869533,756371.332936,864186.498572
770240.044208,768335.993306,844895.563938
177341.528874,164643.225803,196216.300665
768286.783902,706596.551771,854422.447102
790343.780965,719175.228182,872167.121713
793054.473583,753140.153900,884995.416561
713341.873266,657939.882761,769718.299473
821928.744959,882365.079321,861599.989733
769182.627888,735017.317325,866697.519664
747148.623798,701176.125428,867024.175566
803700.402390,728344.001604,831261.490053
781560.713469,735327.323841,857009.717522
783145.383282,757508.397186,883571.136125
792811.704722,726271.848698,850028.856024
-220011.839062,-203821.760584,-259829.484134
257991.024390,255615.627733,282219.543468
785494.424898,720699.066188,874144.113748
724606.160339,743353.543563,895030.021883
787169.007047,754805.967869,882532.089346
-431259.823110,-395326.496061,-485130.216989
662799.021373,610978.686796,712583.323847
-404955.704376,-375585.475893,-446915.325125
811147.302386,725807.209544,870994.299105
650317.106876,626069.684876,729032.235697
787150.325852,733194.000000,866253.593972
452780.002452,410363.035818,487388.355604
595405.900339,552944.485633,667146.369494
618046.534280,625071.139409,668430.360845
797451.389765,716425.891558,852436.812717
-556484.537230,-515596.400208,-526041.753593
900199.083213,896110.237233,873310.788935
771015.154140,720780.275822,885936.458843
660167.893216,609196.458211,710362.655798
185025.842523,171265.199277,202108.199588
776530.310059,734048.275690,892515.906248
146962.676292,152900.378239,161507.006967
806251.343214,722269.366079,828284.228769
765122.881522,751474.645260,853022.178915
-488452.144689,-456332.372184,-540016.817845
773312.555888,762637.852282,843837.791062
779686.773247,884993.119326,859523.809902
748369.742717,701635.584387,865672.028065
791233.211848,727497.966347,858363.594720
806582.685672,713968.620646,855275.907920
802847.449680,685311.092939,815096.907061
768432.985587,737250.441395,873348.000000
772600.023537,705766.638621,874389.065805
-271174.478625,-249915.978201,-288691.196776
752179.096255,810434.551243,860465.261184
364592.723347,335644.011311,402424.416860
797549.913742,734743.603769,870581.724053
-192659.459646,-179482.831715,-216999.051671
608528.353772,555891.280885,681006.269284
790399.650612,746201.769470,879611.165728
368886.553197,339182.894849,409212.219803
458760.534054,413636.211433,496170.419382
637957.623344,610789.710773,719162.872437
-465753.705428,-503516.426450,-493621.241496
685761.251878,630303.679306,756490.737301
784383.762008,693374.467438,846093.871133
789971.155239,753337.139217,878712.872524
758480.478390,740896.240380,866681.987804
808069.043343,745292.696311,863034.621647
781622.204790,720214.100197,881587.897940
-540363.104320,-513354.510228,-599844.741997
301265.242164,297891.698093,344434.018717
754224.359332,722934.794802,846395.486312
775673.798903,713229.475300,875442.698519
773075.999014,736819.881475,856135.449622
-509513.343970,-604917.128238,-650643.135918
388465.873580,354143.974296,415572.105838
767706.839306,720842.946073,871208.506810
802661.803488,752196.567948,856367.333201
751794.250737,809428.819158,859706.919070
404907.667479,361074.754656,438325.369028
-406153.006203,-372366.216704,-442308.943908
780995.618402,735462.986863,857574.469291
405313.163571,352951.032823,423040.564784
793163.246288,753227.156246,884555.201504
792359.303744,750530.824610,886353.872973
605716.551324,575152.439460,678875.839191
795159.179619,749726.557244,888108.074948
304388.595457,304031.363734,334914.401015
786273.945640,707386.878825,861336.272181
793437.951570,711419.439816,882458.087079
713392.700434,792398.799675,839613.650209
774951.960484,703406.247962,854533.831067
766414.955507,704665.547958,849871.993069
773664.513555,709963.847081,900493.362603
251671.328151,231000.897350,272461.654628
-360199.820682,-338681.819679,-384271.603964
784132.612693,707918.932829,838702.679865
789074.886015,733070.354206,845366.147386
872229.216306,814508.833248,842510.281300
174934.593707,160614.507340,185931.678565
-548604.513138,-506982.802922,-600836.667397
772728.887915,731611.975286,886058.863201
763751.897540,745519.541435,861449.282023
878274.437959,884489.709613,867662.414469
782033.575328,787955.541538,841271.027708
363704.431374,337155.489594,402945.737640
791757.661998,719130.799835,867468.011588
775769.953974,740748.057145,874062.000000
26422.181141,24055.315034,27810.249501
793123.889800,731675.044758,861413.770375
781615.354392,721937.257320,893842.161234
-162035.538454,-155105.074283,-178285.909828
744956.729942,827031.764663,875997.359576
123435.371771,116474.549861,136399.657858
-71400.187232,-65063.240322,-78607.671232
693358.844553,648774.674809,748607.607430
648895.183552,644218.068478,694665.574410
-51665.745321,-48154.590979,-57424.158181
-62311.978682,-56786.161236,-66500.951488
780718.213096,762075.073608,862659.000000
-53878.107879,-48267.314884,-59032.428473
-314358.993461,-288859.081666,-345668.773394
711748.216838,675239.631145,775328.280334
650052.259876,613001.223526,744670.089749
-298788.072001,-281192.498662,-335247.344458
434903.079405,415843.434520,484388.019931
274877.525939,251679.782784,299740.157728
88135.302621,80312.972672,97700.503500
315309.756335,322615.826175,393219.964284
796248.818237,724276.707416,863382.676049
799104.719576,746553.957944,882822.233094
809138.623549,747278.539796,888825.000000
678709.879904,615782.254148,724734.024013
890565.545623,821567.979407,827536.864174
770768.004821,718544.022934,845420.163016
770066.857372,699780.058798,845847.510710
248272.767360,223647.676404,270314.727237
-390656.087139,-343906.648160,-418349.677697
839548.975328,771712.162766,880321.003313
674314.356814,643870.328882,758883.583627
765417.565426,757554.672321,835943.749156
807461.971489,711972.531692,843669.553026
-152755.894108,-139472.783660,-168512.661942
752772.181922,864106.948750,839833.707290
272999.645019,243831.380729,296454.544086
-217914.958390,-200689.579475,-232824.763624
813218.327001,713458.631227,852572.327001
-91097.013433,-102819.181502,-99925.933047
-443408.668154,-467466.319320,-499632.367706
771730.628814,740380.420040,896583.945565
775445.873751,716453.553461,851782.817956
783918.968007,723845.949649,858855.459143
779862.122071,739725.040760,874349.428184
368912.016525,349206.915121,410030.129662
343027.073770,321972.027989,384924.836057
813937.244298,717287.093744,859650.405650
374423.961383,344017.418955,400290.301215
781170.630398,746625.368971,855108.747905
472977.508170,433609.007369,509335.224153
777947.922912,757177.270097,863011.076180
250440.842133,237195.873202,288488.243193
777088.510736,714709.207225,872445.737399
800082.415313,740160.781393,868744.017612
689626.182464,689364.131639,740688.451883
529430.668315,490318.579162,591521.389067
-189236.545932,-170535.739167,-203782.786403
808604.348668,868604.845322,832618.091137
425222.828847,380131.595659,441698.600683
-585277.609951,-529315.422790,-619685.432925
890588.545932,846492.164635,852454.279605
445431.085423,406479.159111,490183.675406
712020.804848,731077.159777,880748.644169
240810.592427,217598.777883,268827.226347
704874.310688,630251.230870,738525.306609
342553.930662,334283.322177,385585.121045
319766.074122,301463.898524,304076.510745
-669391.579577,-626861.763665,-773773.605146
409709.861128,386800.534457,473719.754874
792437.548041,723526.776442,865746.696962
462523.348083,431500.220780,503876.956422
197553.769556,187558.103834,215514.151053
781214.757309,762994.798870,862119.035545
786336.706843,717442.749339,869094.023387
789885.520446,732375.000000,840996.442288
194988.758574,179313.722774,209165.575077
784421.273522,705918.479484,839561.713214
-243657.556361,-222483.470698,-262142.779404
764329.427736,724070.314860,843717.369111
776526.919850,747042.296326,870328.013986
799197.894845,760986.260485,883218.000000
779706.698324,762769.535144,862109.769040
158388.955523,143913.050360,170624.299104
137441.006794,128900.820138,151974.484489
789265.845209,716839.365438,869417.434714
-336084.885205,-307411.656965,-373387.434070
782961.967561,693496.818542,873339.652269
652575.275616,678731.577624,830736.176887
239117.886067,224147.761172,267957.769722
752459.167710,715695.976441,879769.335421
782243.410936,723114.338820,874951.164862
534065.680088,505361.319230,592318.396634
-185447.907200,-168206.459713,-200851.240638
796067.086507,724008.164409,885948.000000
770320.219203,766814.364179,845384.669088
778483.964032,685687.867025,820611.631767
637002.552682,632684.164026,621057.563749
809077.453638,706410.523592,843593.069954
809117.121866,739032.000000,890765.527282
799027.350376,719047.997370,871928.841502
418356.618756,380781.215282,457647.922212
790920.450895,730701.900590,879729.210171
827281.476081,763173.837028,889208.302578
803276.017133,718943.161812,865177.453265
820999.230080,732627.014104,878136.000000
812503.823738,874043.838748,858060.000000
789120.591255,715969.550986,870504.319403
786433.643605,717219.696232,869738.913861
803354.780540,752173.277590,859775.553692
729730.556593,839074.605979,892719.453546
89411.361900,80667.338282,99125.611824
384625.481999,338381.126439,402334.569440
376164.181458,365309.883207,425523.301032
424193.230728,407178.133276,478413.496423
753635.151638,709973.024964,868623.112673
489675.104376,456335.051268,554343.066511
572377.554242,559901.385988,548762.654782
796093.339260,729185.937369,855539.384678
803876.630730,733693.866860,884608.371149
794219.871036,724977.239283,874988.582134
781379.284773,723605.736499,855313.138376
804341.168801,745790.961411,887522.818336
-144185.923524,-162139.260290,-171603.674317
-44360.077690,-43844.873755,-49727.813037
648362.522824,613631.816293,718663.526980
611117.886759,565666.295570,672478.810126
338277.751026,317930.674501,384257.856477
786743.243558,716647.380246,889318.893775
-10666.782207,-12691.800916,-12341.270866
188625.246961,173339.124593,210660.502476
763580.658532,714790.273697,851733.077452
778936.496028,705238.891985,870961.983030
722776.386127,844209.940720,902514.949707
787661.976848,693201.395816,841386.000000
780420.127438,761787.025988,862692.025988
768868.384369,741876.361995,896700.000000
79880.213742,76630.072918,89636.422835
801675.878561,707417.296395,823391.918307
784875.353743,715145.626141,868033.585028
470953.051095,433597.554752,509479.329176
791273.115312,720302.102555,867780.588296
182696.244734,165452.496390,195429.250534
801404.062419,676503.694927,813182.922757
-558163.044665,-514084.586137,-617917.944322
834876.648490,743881.114442,886070.917349
220999.411490,208054.679263,248033.958530
791626.941359,708199.554820,882868.836051
767562.459195,769430.512500,840909.033113
765992.925588,727112.998425,849158.088417
745268.805658,671580.676370,838596.108714
654435.687855,594486.221492,719869.548349
719979.950304,646411.132756,770272.766425
-137605.010355,-123261.052210,-150709.973018
728152.757977,714528.754377,835821.742913
752361.600820,699385.517572,890994.173435
-2739.355694,-2573.771099,-2971.629243
317526.963621,287895.448879,339634.880741
786916.012805,717069.968489,866937.411907
809018.993047,706686.150312,843381.000000
778536.403320,708614.115650,886825.559100
809694.070579,779866.608653,828549.516333
-176428.578460,-163121.779090,-198443.866121
751809.381527,715057.514453,879336.650936
286549.487963,270455.140661,331375.064091
-273564.857519,-254346.305522,-308411.296368
761855.333154,797333.961130,852111.726161
581899.558073,599608.414507,640778.663297
806203.428810,735895.142385,890292.948320
-45675.215764,-41555.537272,-51216.221560
804070.127567,761241.111818,859156.828401
381174.208615,355649.507049,424856.843668
294779.419686,277617.540021,334887.657371
763531.225294,750290.093481,868120.084618
699104.584602,679043.429533,789241.453433
796284.597386,757998.596003,891485.737740
657902.421767,604508.299965,734197.244099
295212.598942,279774.833839,326092.434821
786862.472241,717231.072699,867293.445717
789768.240629,750980.278113,885658.295974
158730.761258,155524.129202,174924.474109
343855.445095,318583.238725,380447.996393
772792.142889,739772.089315,897267.000000
766968.294970,682090.677748,821201.321958
853344.489626,791012.230557,866072.774707
761674.610513,707227.313275,841752.433709
799183.453193,715372.434511,839986.757870
769056.872013,719977.283694,870593.711592
806274.833088,746668.480418,816395.296870
789715.425406,701070.827142,851444.908717
227729.984461,207839.855809,250428.788010
409438.364524,368170.904889,443288.113004
765659.644698,760371.959754,849120.253259
775228.027996,736504.125503,893761.296606
611934.340387,536443.172877,655674.839275
761769.719331,698151.733679,887272.700040
622610.303252,574659.329013,697636.591578
763945.199899,763552.139317,843339.000000
793935.564206,722573.378411,867949.565343
795459.593706,726104.984103,853128.477880
782247.829035,719864.493816,877460.632941
783613.702727,756914.304223,879539.058706
251870.783875,235877.984178,269298.489459
542739.172465,574666.125207,705566.003476
792117.169638,754959.950384,885576.958671
798690.561841,728788.540375,863646.523442
794110.696431,718897.494991,868637.838629
786253.248811,707499.922194,861317.977235
789930.235835,714919.427897,866684.476071
-218119.704094,-238695.033696,-234895.218065
773623.591465,885981.226428,861473.734753
200218.355334,200290.422502,220858.331671
774177.619745,715965.547873,837710.349416
800413.985282,720319.420563,890145.653788
314528.410418,301411.152781,365152.231150
339961.184786,309645.151464,374694.044839
-57592.789325,-54654.422759,-64509.826742
777973.133003,718573.556552,872792.997017
761590.840227,728492.097678,870786.000000
194442.277967,177309.494166,213927.838951
744812.708159,731373.366467,836134.391393
766546.826037,705682.156186,851934.640376
579038.078315,573463.171508,662738.261464
626093.173423,563591.334005,668697.524450
754270.810921,717755.309186,864890.782370
342293.041144,341645.531519,376443.175031
208421.004960,188906.631862,226655.449384
-120873.035975,-112244.116741,-135433.272084
789761.386742,763216.226517,840320.691287
808520.760608,726702.715100,871581.627549
778574.055543,768550.196914,850480.879754
765772.746545,756742.128283,849192.676395
177865.946736,166756.739695,197411.198178
794994.459822,725564.610182,875454.514652
580307.274303,535621.581603,643807.964846
-354858.842560,-339598.020582,-397286.042067
283081.516245,259908.287216,312123.892828
545570.035062,515429.002150,623675.943741
2333.468005,2211.303719,2661.523917
635390.350330,612557.374488,704080.465145
764446.750993,691684.930137,849818.136520
786932.770700,690022.282921,868672.062511
633764.744451,566296.882966,661248.554575
676999.528480,733828.067416,907659.499846
785363.051123,738992.250829,892703.171593
657850.050771,597750.651373,719811.235169
423811.901006,408805.665222,475442.831399
-386474.367132,-420077.964453,-520156.937835
302096.495413,314058.202601,332056.418614
498140.034002,456725.908000,558429.645763
790618.214112,759778.003733,889183.686297
796034.874009,724900.477661,859610.160335
50361.028025,54202.270666,52329.123968
607263.092825,564034.001877,658546.711519
668244.439763,619782.939099,731866.241142
136138.039465,124169.154740,150130.001319
773985.299037,731304.338710,869061.711585
793068.966323,752832.966323,837208.580300
802221.000000,722981.443830,847868.911172
808130.794111,750898.216878,879060.000000
-33511.375625,-31663.759615,-38450.894020
789119.859030,714250.651338,866380.290614
785565.719140,724599.999283,864126.682008
-376650.922631,-337454.043218,-412305.875342
186690.472118,181437.961938,208424.481439
709636.822885,664825.983125,795775.587371
314186.876037,284749.515419,333299.867729
523214.094983,443299.171525,542001.434095
787633.902739,709370.414160,840569.341378
727601.808048,799011.358889,991255.756606
-558358.623454,-517512.955191,-618731.096883
320351.080496,291908.363357,342805.034017
792108.335091,728889.000000,877494.289440
413120.734253,411508.856539,462523.208153
201162.997732,191454.138307,223748.462932
-121592.186936,-113462.784820,-133814.877815
-60981.828143,-57241.575095,-67639.100875
-576560.504363,-544915.197337,-642816.402517
-534865.914516,-494994.183007,-595747.666318
507671.261178,467215.431405,540069.331434
639059.550367,628967.731986,624617.425944
239093.696758,227970.633273,274556.637297
-105930.227103,-96204.077480,-115685.853264
541041.516225,496863.523580,589643.088352
725335.396760,841650.691050,898603.809719
-479424.797805,-476096.830379,-530948.291551
752594.603049,737087.420803,856964.625300
-12071.059596,-11784.924004,-13439.018416
799003.294702,728723.324285,896020.729593
807385.350767,879119.208964,858290.914239
656608.322830,742497.390052,785595.125473
305938.525609,294383.433704,346505.777004
81664.602610,86162.422845,92030.441241
157248.365719,147352.868310,168026.720908
416784.915949,383092.194831,461953.145088
792741.700476,729850.387405,856777.765362
170038.749920,166734.997476,163525.289592
698346.692001,667625.322765,782148.465359
802916.487692,720013.702987,831951.546357
803292.000000,701558.813979,827422.577580
812864.748406,706293.267405,825860.213259
783141.217982,711127.773219,844457.214348
875493.495343,816266.046198,841962.842917
803621.816495,727276.986692,885128.534583
609735.749660,563125.569537,671250.418547
-249812.857508,-225519.119367,-274919.447041
790476.935086,732509.207923,853283.590744
790077.057881,723277.171318,874923.571834
796659.590167,751463.478793,883531.784810
132126.001726,119101.296166,146418.913518
-597718.854853,-548855.598705,-637947.886683
120805.220312,112598.599946,128847.485424
790403.970890,709603.858258,881965.760071
504616.845601,505270.177305,554547.764348
732334.542822,712714.151519,812245.069158
785071.742635,739412.117710,892847.676287
768902.689083,711245.287938,864339.000000
-107823.890865,-103346.281781,-119843.680054
760833.407119,737964.825152,887624.592881
719541.381193,669135.822435,810513.650030
765525.338313,761468.736593,840630.000000
227663.551413,210573.701863,240047.108852
784670.684394,718121.777232,875651.948333
774311.396836,730463.698418,864594.526257
797508.867650,739043.403378,841774.851156
796861.751796,720885.440366,857099.749311
761374.241756,717025.101459,889001.717798
447899.497124,409936.222317,494284.584783
266596.266468,266423.037194,320035.412790
799142.481041,738036.803704,793966.370358
805039.183052,739174.296663,880017.208736
-105113.974270,-101852.562437,-120610.199009
800511.859590,734338.094770,843339.000000
425806.157267,379183.680831,465219.994805
798714.103890,757973.896110,876564.481664
761302.323868,728634.220146,870690.971604
790964.841845,715649.733142,868711.032906
785127.000000,756233.868508,889895.267032
803457.891633,755375.774436,847038.378647
527574.518040,491845.808335,590106.628470
448110.810586,441765.259377,508758.204963
806518.875781,882488.085701,861676.728659
543362.260732,493876.744021,598153.501880
382050.258157,352145.790323,427201.062665
665439.328259,611100.258053,702343.849159
735791.438294,699062.692140,849110.824953
784364.564286,707642.725108,839454.000000
870813.360612,802839.448358,836280.619889
785476.505588,716022.646742,866742.338440
60989.370345,57322.326464,70369.060342
472853.793288,440779.388305,455960.388576
799667.097358,718934.919779,857285.595636
651913.438821,593723.832958,717806.369916
500066.209802,469843.968584,534626.235209
51355.633772,46203.786966,55272.453560
784161.045139,754618.037050,891332.570626
795887.051827,727077.893233,877707.527331
742755.953163,736487.623601,867266.423664
726665.958085,664948.051027,769767.823814
806474.893222,723843.979290,828975.000000
766684.448218,738727.337798,872044.590874
776521.696603,713786.305058,866417.263546
762269.344296,737648.316059,849269.072652
421869.650476,385061.984750,466883.251144
-313131.427680,-290852.852515,-351086.952761
-275144.342625,-258148.120207,-315143.408649
846883.501184,785820.000000,869572.929555
-80332.987046,-75493.209424,-89216.246250
766703.663753,793876.293053,848602.163470
695127.094810,635679.974106,750712.218515
304742.115679,286463.493820,322274.541689
770991.254759,723860.059784,866072.192477
791471.804341,714546.333881,844704.000000
592984.350409,543675.991857,675380.515257
445505.193371,422499.224406,496071.941553
285674.936070,254000.460918,305766.316993
799472.729851,736189.471370,866390.132293
768238.035432,722850.328811,878141.847378
158545.101879,145587.745316,185246.394249
729499.644766,690557.515714,815744.310305
798618.015159,758444.716466,876476.998084
720745.796230,660530.517063,803735.189252
326289.636849,293846.488420,350899.179486
800504.124515,716894.817749,866903.813228
-37595.429222,-34387.518694,-41225.622985
